lat,lon,amenity
11.962761,10.445222,hospital
11.963552,10.697809,hospital
12.139178,10.531695,hospital
12.206292,10.199952,hospital
11.576275,10.917979,hospital
11.493333,10.662537,hospital
11.477317,10.671202,hospital
11.453656,10.897759,hospital
11.188484,10.934825,hospital
10.31722,9.838584,hospital
11.3082,9.25008,hospital
10.452972,8.759556,hospital
10.260224,10.30086,hospital
10.271363,10.33296,hospital
10.261031,10.300527,hospital
10.271841,10.334689,hospital
10.272488,10.341732,hospital
10.30129,9.829907,hospital
10.297862,9.815918,hospital
7.427301,3.89338,hospital
7.359333,3.889804,pharmacy
7.387016,3.902507,hospital
7.394264,3.872057,hospital
7.40365,3.933796,hospital
7.375451,3.886916,pharmacy
7.364732,3.920063,hospital
7.382775,3.904891,hospital
7.365246,3.919879,hospital
7.37652,3.897624,hospital
7.376518,3.897616,hospital
7.375224,3.900752,clinic
7.383749,3.926835,hospital
7.375426,3.918668,hospital
7.367315,3.899499,hospital
9.836892,9.473921,hospital
7.764236,4.534978,pharmacy
7.777201,4.552628,pharmacy
10.259847,11.872145,hospital
11.793806,13.182252,hospital
10.875673,12.781883,doctors
10.861877,12.849304,doctors
11.160095,12.754089,doctors
10.869774,12.844581,doctors
11.059876,12.808289,doctors
11.051514,12.807312,doctors
10.865375,12.787277,doctors
11.175476,12.786682,doctors
11.036078,12.704221,doctors
11.015975,12.893466,doctors
11.083905,12.896257,doctors
10.865112,12.711487,clinic
10.865112,12.711731,doctors
10.858229,12.704464,doctors
11.047057,12.753622,doctors
10.947048,12.774463,doctors
10.947083,12.774475,doctors
11.137695,12.952087,doctors
10.849635,12.779157,doctors
10.866407,12.853891,clinic
10.869555,12.844338,doctors
10.922428,12.772246,clinic
10.922638,12.772661,doctors
10.98315,13.301896,doctors
10.868006,13.157107,doctors
10.926338,13.02449,doctors
10.843839,13.149406,doctors
10.346958,11.609892,doctors
10.380284,11.639142,doctors
10.375122,11.810303,doctors
10.224915,11.620117,doctors
10.44678,11.748662,doctors
10.239484,11.805874,doctors
10.450333,11.752845,doctors
10.335876,11.772705,doctors
10.152183,11.943654,doctors
10.309967,11.650094,doctors
10.249439,11.701596,doctors
10.225503,11.624104,doctors
10.210327,11.735901,doctors
10.271187,11.603625,doctors
10.22295,11.820435,clinic
10.303726,11.890826,hospital
10.334106,11.803284,doctors
10.174683,11.808472,hospital
10.445692,11.706489,doctors
10.347032,11.609807,doctors
10.38389,11.695816,doctors
10.275457,11.76462,doctors
12.3703,14.210693,clinic
12.37005,14.210485,clinic
12.421081,14.128113,clinic
12.436564,14.183326,doctors
12.361325,14.358615,clinic
13.261719,12.616882,clinic
11.044057,12.645798,clinic
11.146036,12.363535,doctors
10.896484,12.644287,doctors
11.05236,12.544602,doctors
10.952402,12.605918,doctors
10.93397,12.526754,doctors
11.092563,12.653595,doctors
11.191168,12.470873,doctors
11.200949,12.613281,doctors
11.229118,12.472565,doctors
11.509079,12.514116,hospital
11.373851,12.614168,doctors
11.307078,12.47815,doctors
11.220886,12.31488,doctors
12.000339,12.949989,clinic
10.141325,11.921225,doctors
10.046269,11.912767,doctors
10.098694,11.692505,doctors
10.099395,11.750264,doctors
10.099584,11.750318,clinic
10.036316,11.860107,hospital
10.03833,11.777893,doctors
10.032105,11.887512,doctors
10.098694,11.692688,doctors
10.063639,11.831825,hospital
10.046795,11.91138,doctors
10.32037,11.863725,doctors
10.424742,11.929119,doctors
10.316394,11.943268,hospital
10.393821,11.846686,doctors
10.075551,12.053103,doctors
10.432288,12.01097,doctors
10.328686,12.209578,doctors
10.48205,12.432974,doctors
10.138795,12.036211,hospital
10.087464,11.962583,clinic
10.107841,12.030652,hospital
10.071689,12.003105,doctors
10.034133,11.971121,clinic
10.043274,12.05011,clinic
10.05183,12.015114,clinic
10.02533,11.968689,doctors
10.028686,11.97168,doctors
10.321514,11.554717,doctors
10.321763,11.554685,doctors
10.34082,11.580387,doctors
10.328919,12.178284,clinic
10.350899,12.023301,doctors
10.186984,12.079589,doctors
10.280701,12.00708,doctors
10.253077,12.164143,doctors
10.475525,12.304077,clinic
10.429871,12.147705,doctors
10.182604,11.960478,hospital
10.38306,12.264458,doctors
10.433716,12.100891,doctors
10.163879,12.119324,doctors
10.478088,12.248108,clinic
10.215657,12.109888,clinic
10.296692,12.080078,doctors
10.218079,12.064697,hospital
10.332532,12.08768,doctors
10.283779,11.962778,doctors
10.392474,12.250125,doctors
10.18618,12.007952,hospital
10.410889,12.522278,doctors
10.466675,12.339905,doctors
10.399218,12.543931,doctors
10.467102,12.417297,doctors
10.407288,12.370727,doctors
10.46051,13.224121,doctors
10.483849,13.235972,doctors
10.458332,13.226969,doctors
10.459114,13.213895,doctors
10.512447,11.721448,doctors
10.59637,12.217485,doctors
13.308682,13.50271,doctors
13.270712,13.804077,clinic
13.414962,13.794148,doctors
13.094727,13.821716,doctors
13.09491,13.814697,hospital
13.116399,13.861129,doctors
13.094446,13.821202,doctors
13.096314,13.822693,doctors
13.149622,13.557438,doctors
13.195631,13.609808,clinic
12.949349,13.674604,doctors
12.923096,13.568298,doctors
12.945496,13.176086,clinic
12.945243,13.176094,doctors
13.000671,12.991272,clinic
12.899624,12.815923,doctors
12.916591,12.614267,doctors
13.193492,12.570633,doctors
12.861877,13.851074,doctors
12.860718,13.857117,doctors
12.802124,13.846497,doctors
12.803851,13.834801,clinic
12.769536,13.757222,doctors
12.660336,13.371021,clinic
12.812073,13.670898,clinic
12.894908,13.693169,doctors
12.609131,13.509521,clinic
12.862223,13.674668,clinic
12.666687,13.618103,doctors
12.57727,13.413514,clinic
12.687523,13.510759,clinic
12.670652,13.616128,doctors
12.779851,13.66497,clinic
12.681545,13.440589,doctors
12.726113,13.456482,clinic
12.713825,13.639064,doctors
12.825073,13.190124,clinic
12.700835,13.220381,doctors
12.68512,13.355102,clinic
12.661091,13.277767,clinic
12.574827,12.789891,doctors
12.605691,12.859328,doctors
12.798362,12.635647,clinic
12.884012,12.508571,clinic
12.3935,12.538752,doctors
12.524387,12.905464,doctors
12.401346,12.944495,doctors
12.501837,12.785201,doctors
12.491733,12.78433,clinic
12.530822,13.188725,clinic
12.494386,13.213822,clinic
12.492138,13.158645,doctors
12.324451,13.238993,doctors
12.225357,13.249132,doctors
12.429475,13.351893,doctors
12.347216,13.454511,doctors
12.304348,13.419016,doctors
12.530273,13.69812,doctors
12.504536,13.518027,doctors
12.269104,14.462097,doctors
12.287292,14.535278,clinic
12.298325,14.42962,clinic
11.916702,14.636538,clinic
12.080163,14.46403,clinic
12.135616,14.620351,clinic
11.99836,14.45312,clinic
11.96051,14.398715,clinic
11.986088,14.090672,clinic
11.898212,14.092998,doctors
11.982729,13.991593,doctors
12.021971,13.998048,doctors
12.019662,13.96162,doctors
11.940938,13.878173,doctors
12.112389,13.988619,doctors
12.141073,14.025622,doctors
11.944039,13.854384,doctors
11.972473,13.991272,doctors
12.033691,13.920715,doctors
11.927746,13.941012,clinic
12.053072,13.996144,doctors
11.954285,14.001709,doctors
11.867493,13.169311,doctors
11.920112,13.186749,doctors
12.040072,13.252334,doctors
12.036264,13.071603,clinic
11.924667,12.663553,clinic
11.954712,13.001709,clinic
11.983276,12.504883,doctors
11.906311,12.554321,hospital
11.983276,12.5047,doctors
11.807312,12.488281,doctors
11.60115,12.405314,hospital
11.575501,12.449524,hospital
11.624878,12.53009,hospital
11.829895,12.631897,doctors
11.778337,12.392414,hospital
11.693726,12.58429,hospital
11.807312,12.488098,clinic
11.525994,12.412408,clinic
11.77432,12.346955,doctors
11.556773,12.549636,hospital
11.63259,12.321991,hospital
11.761778,12.26355,doctors
11.760498,12.262329,doctors
11.847441,12.93299,clinic
11.84247,12.768926,doctors
11.767184,12.854477,clinic
11.531921,12.991089,clinic
11.547178,12.973746,doctors
10.560229,12.4021,doctors
10.56973,12.461229,doctors
10.545334,12.323512,doctors
11.59883,13.020142,clinic
11.660278,13.113467,clinic
11.730813,13.235195,clinic
11.85852,13.137512,doctors
11.798279,13.142273,hospital
11.853352,13.14389,doctors
11.863856,13.220294,clinic
11.855359,13.151666,doctors
11.825928,13.127075,doctors
11.776783,13.217724,doctors
11.755767,13.263208,clinic
11.79972,13.17805,doctors
11.808289,13.166687,doctors
11.830243,13.084527,doctors
11.79464,13.146088,clinic
11.689319,13.220456,clinic
11.709031,13.320146,clinic
11.811032,13.188154,clinic
11.694855,13.345279,doctors
11.761525,13.110537,clinic
11.840881,13.072083,doctors
11.852112,13.148071,doctors
11.83663,13.065924,clinic
11.846314,13.156311,clinic
11.745911,13.301086,clinic
11.853734,13.144918,doctors
11.796326,13.193909,clinic
11.722209,13.453923,doctors
11.54355,13.592803,doctors
11.682312,13.365906,clinic
11.682312,13.366089,clinic
11.615555,13.656361,doctors
11.653268,13.414773,doctors
11.59138,13.578456,doctors
11.576131,13.533133,doctors
11.586843,13.479765,clinic
11.534655,13.481572,doctors
11.601458,13.488932,clinic
11.645143,13.612408,doctors
11.56209,13.660122,doctors
11.526047,13.688338,clinic
11.528341,13.694946,clinic
11.733455,13.432606,doctors
11.707504,13.707325,clinic
11.645261,13.424842,doctors
11.805425,13.809583,doctors
11.722062,14.004155,doctors
11.606374,13.957868,doctors
11.649409,14.097636,doctors
10.710548,11.758667,doctors
10.600813,11.712888,doctors
10.557901,11.621222,doctors
10.543899,11.621192,doctors
10.489167,11.662401,doctors
10.557785,11.868677,doctors
10.541568,11.912104,doctors
10.648403,11.776385,doctors
10.570679,11.66199,doctors
10.618553,11.733971,doctors
10.665425,11.776009,hospital
10.551481,11.614452,doctors
10.560666,11.941461,clinic
10.730888,12.359708,doctors
10.620287,12.19034,doctors
10.611511,12.196106,doctors
10.618988,12.170399,doctors
10.525384,12.256655,doctors
10.564241,12.271043,doctors
10.543856,12.124317,doctors
10.678284,12.158874,clinic
10.712008,12.251132,doctors
10.726141,12.145828,clinic
10.729478,12.14549,doctors
10.586592,12.050165,doctors
10.509888,12.329285,doctors
10.826111,12.420288,doctors
10.693319,12.331378,clinic
10.811211,12.456045,doctors
10.512695,12.327698,doctors
10.490649,12.419744,doctors
10.616089,13.131714,doctors
10.748291,13.217895,doctors
10.50879,13.105501,doctors
10.498626,13.237066,clinic
10.76803,13.142484,doctors
10.693369,13.204125,doctors
10.761172,13.262276,doctors
10.770407,13.272808,clinic
10.74195,13.127545,doctors
10.589844,13.042393,doctors
10.800727,13.33438,doctors
10.57833,13.222267,doctors
10.497032,13.082301,doctors
10.497925,13.129089,doctors
10.777332,13.309827,doctors
10.649456,12.910337,doctors
10.831816,12.796501,doctors
10.768829,12.879374,clinic
10.703704,12.981907,doctors
10.741515,12.794484,doctors
10.70504,12.763982,doctors
10.704113,12.8455,doctors
10.706949,12.816272,doctors
10.779355,12.874992,doctors
10.671393,12.689871,clinic
10.748337,12.919666,doctors
10.77555,12.948108,doctors
10.80349,12.776264,doctors
10.611619,12.994769,clinic
10.646904,12.894232,doctors
11.248828,14.150901,clinic
11.355774,14.209675,clinic
11.433716,13.793884,clinic
11.397657,13.76311,doctors
11.323779,13.971109,clinic
11.386134,13.905424,doctors
11.388329,13.94479,doctors
11.465392,13.756925,doctors
11.476847,13.631627,doctors
11.504913,13.671977,doctors
11.516572,13.685275,clinic
11.206372,13.067404,doctors
11.226359,13.317904,doctors
11.251399,13.172809,doctors
11.294875,13.087658,doctors
11.474673,12.881234,clinic
11.387697,12.907386,doctors
11.291166,12.664534,doctors
11.294868,12.84843,clinic
11.226863,12.814984,doctors
11.388548,12.723322,hospital
11.273071,12.869873,doctors
11.16907,12.279313,doctors
11.170889,12.287039,clinic
10.904798,12.08489,doctors
11.24385,12.119734,doctors
