subregion,sex,severe_prevalence,moderate_prevalence,severe_depth,moderate_depth
_T,Female,6.7954545280929635,30.974778175800978,0.07487549255322183,0.38223861230401257
_T,Male,6.942312790103309,33.13100023418406,0.07529158041936057,0.40662511044206195
Kingston Metropolitan Area (KMA),Female,5.991727463577064,33.016058464574954,0.061004712987410475,0.4114500305857997
Rural,Female,7.492128645314899,33.31517297113221,0.08466579178515894,0.41432050757037125
Urban,Female,6.318612729685221,23.339056532192494,0.07145281213036046,0.2760039158900696
Urban,Male,3.7760620333478068,22.476099396157846,0.04405874984361351,0.25753695563226664
Rural,Male,8.355774544474109,35.892474433158576,0.09261721305448983,0.44580419608629707
Kingston Metropolitan Area (KMA),Male,6.781375167042312,36.063237996469695,0.06781375167042313,0.4467152519563815
