subregion,severe_prevalence,moderate_prevalence,severe_depth,moderate_depth,survey_year,survey_code,sample_size
_T,6.870124296025853,32.071104650780214,0.07508705153518756,0.39463787491095476,2022,jam2022_imics,5797
Rural,7.93809499227347,34.64603058204654,0.08877171795242787,0.4305779408192295,2022,jam2022_imics,2638
Kingston Metropolitan Area (KMA),6.3937660639451295,34.567489297207274,0.06447144425245102,0.4294048478787285,2022,jam2022_imics,1702
Urban,5.07397966218306,22.91662051591443,0.05804283142696117,0.266963942989541,2022,jam2022_imics,1457
