WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2021-08-14,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,363283.0,Political violence,2129.0,5.433,7.4937
2021-10-16,Western Africa,Nigeria,Abia,Battles,Armed clash,1,4,139188.0,Political violence,2129.0,5.433,7.4937
2021-10-23,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,117600.0,Political violence,2129.0,5.433,7.4937
2021-12-11,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,294810.0,Political violence,2129.0,5.433,7.4937
2022-01-15,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,17658.0,Political violence,2129.0,5.433,7.4937
2022-01-22,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,374424.0,Political violence,2129.0,5.433,7.4937
2022-03-12,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,500786.0,Political violence,2129.0,5.433,7.4937
2022-04-02,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,552452.0,Political violence,2129.0,5.433,7.4937
2022-04-16,Western Africa,Nigeria,Abia,Battles,Armed clash,1,5,552452.0,Political violence,2129.0,5.433,7.4937
2022-04-23,Western Africa,Nigeria,Abia,Battles,Armed clash,1,5,552452.0,Political violence,2129.0,5.433,7.4937
2022-04-30,Western Africa,Nigeria,Abia,Battles,Armed clash,1,4,268600.0,Political violence,2129.0,5.433,7.4937
2022-07-30,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,40901.0,Political violence,2129.0,5.433,7.4937
2022-08-06,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,29611.0,Political violence,2129.0,5.433,7.4937
2022-08-13,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,49485.0,Political violence,2129.0,5.433,7.4937
2022-09-03,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,29611.0,Political violence,2129.0,5.433,7.4937
2022-09-17,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,61660.0,Political violence,2129.0,5.433,7.4937
2022-10-15,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,377866.0,Political violence,2129.0,5.433,7.4937
2022-10-29,Western Africa,Nigeria,Abia,Battles,Armed clash,2,1,20225.0,Political violence,2129.0,5.433,7.4937
2022-11-05,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,7284.0,Political violence,2129.0,5.433,7.4937
2023-01-14,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,163267.0,Political violence,2129.0,5.433,7.4937
2023-02-18,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,47620.0,Political violence,2129.0,5.433,7.4937
2023-02-25,Western Africa,Nigeria,Abia,Battles,Armed clash,2,0,80727.0,Political violence,2129.0,5.433,7.4937
2023-04-29,Western Africa,Nigeria,Abia,Battles,Armed clash,2,4,163267.0,Political violence,2129.0,5.433,7.4937
2023-06-24,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,39239.0,Political violence,2129.0,5.433,7.4937
2023-07-22,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,265201.0,Political violence,2129.0,5.433,7.4937
2023-09-02,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,99152.0,Political violence,2129.0,5.433,7.4937
2023-09-16,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,145253.0,Political violence,2129.0,5.433,7.4937
2023-10-21,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,199780.0,Political violence,2129.0,5.433,7.4937
2024-03-02,Western Africa,Nigeria,Abia,Battles,Armed clash,2,1,147723.0,Political violence,2129.0,5.433,7.4937
2024-05-11,Western Africa,Nigeria,Abia,Battles,Armed clash,2,0,366855.0,Political violence,2129.0,5.433,7.4937
2024-05-18,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,358857.0,Political violence,2129.0,5.433,7.4937
2024-05-25,Western Africa,Nigeria,Abia,Battles,Armed clash,2,8,245053.0,Political violence,2129.0,5.433,7.4937
2024-06-01,Western Africa,Nigeria,Abia,Battles,Armed clash,3,1,688781.0,Political violence,2129.0,5.433,7.4937
2024-06-08,Western Africa,Nigeria,Abia,Battles,Armed clash,2,7,174249.0,Political violence,2129.0,5.433,7.4937
2024-06-22,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,358857.0,Political violence,2129.0,5.433,7.4937
2024-07-06,Western Africa,Nigeria,Abia,Battles,Armed clash,2,2,228692.0,Political violence,2129.0,5.433,7.4937
2024-07-20,Western Africa,Nigeria,Abia,Battles,Armed clash,2,6,271033.0,Political violence,2129.0,5.433,7.4937
2024-07-27,Western Africa,Nigeria,Abia,Battles,Armed clash,3,3,541834.0,Political violence,2129.0,5.433,7.4937
2024-08-10,Western Africa,Nigeria,Abia,Battles,Armed clash,3,3,257116.0,Political violence,2129.0,5.433,7.4937
2024-08-17,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,142637.0,Political violence,2129.0,5.433,7.4937
2024-08-24,Western Africa,Nigeria,Abia,Battles,Armed clash,2,2,222331.0,Political violence,2129.0,5.433,7.4937
2024-08-31,Western Africa,Nigeria,Abia,Battles,Armed clash,1,0,80091.0,Political violence,2129.0,5.433,7.4937
2024-09-14,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,97246.0,Political violence,2129.0,5.433,7.4937
2024-09-21,Western Africa,Nigeria,Abia,Battles,Armed clash,2,4,196373.0,Political violence,2129.0,5.433,7.4937
2024-10-12,Western Africa,Nigeria,Abia,Battles,Armed clash,1,8,143727.0,Political violence,2129.0,5.433,7.4937
2024-11-02,Western Africa,Nigeria,Abia,Battles,Armed clash,2,2,105161.0,Political violence,2129.0,5.433,7.4937
2024-11-09,Western Africa,Nigeria,Abia,Battles,Armed clash,3,2,181147.0,Political violence,2129.0,5.433,7.4937
2024-11-16,Western Africa,Nigeria,Abia,Battles,Armed clash,2,3,97567.0,Political violence,2129.0,5.433,7.4937
2024-11-23,Western Africa,Nigeria,Abia,Battles,Armed clash,3,4,205015.0,Political violence,2129.0,5.433,7.4937
2025-01-18,Western Africa,Nigeria,Abia,Battles,Armed clash,2,2,187923.0,Political violence,2129.0,5.433,7.4937
2025-02-01,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,,Political violence,2129.0,5.433,7.4937
2025-02-08,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,,Political violence,2129.0,5.433,7.4937
2025-02-15,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,116314.0,Political violence,2129.0,5.433,7.4937
2025-03-01,Western Africa,Nigeria,Abia,Battles,Armed clash,2,4,26037.0,Political violence,2129.0,5.433,7.4937
2025-03-08,Western Africa,Nigeria,Abia,Battles,Armed clash,1,6,48197.0,Political violence,2129.0,5.433,7.4937
2025-03-29,Western Africa,Nigeria,Abia,Battles,Armed clash,1,3,71609.0,Political violence,2129.0,5.433,7.4937
2025-04-19,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,116314.0,Political violence,2129.0,5.433,7.4937
2025-05-03,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,14908.0,Political violence,2129.0,5.433,7.4937
2025-05-17,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,28025.0,Political violence,2129.0,5.433,7.4937
2025-05-24,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,,Political violence,2129.0,5.433,7.4937
2025-06-21,Western Africa,Nigeria,Abia,Battles,Armed clash,1,1,60216.0,Political violence,2129.0,5.433,7.4937
2025-06-28,Western Africa,Nigeria,Abia,Battles,Armed clash,1,5,121997.0,Political violence,2129.0,5.433,7.4937
2025-07-12,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,20729.0,Political violence,2129.0,5.433,7.4937
2025-08-09,Western Africa,Nigeria,Abia,Battles,Armed clash,2,3,,Political violence,2129.0,5.433,7.4937
2025-08-16,Western Africa,Nigeria,Abia,Battles,Armed clash,2,2,,Political violence,2129.0,5.433,7.4937
2025-08-30,Western Africa,Nigeria,Abia,Battles,Armed clash,1,2,44396.0,Political violence,2129.0,5.433,7.4937
2024-06-01,Western Africa,Nigeria,Abia,Explosions/Remote violence,Air/drone strike,1,0,76149.0,Political violence,2129.0,5.433,7.4937
