lat,lon,amenity
6.431292,7.479129,school
6.43145,7.478238,college
6.431651,7.477204,school
6.428507,7.478696,school
6.43336,7.497057,school
6.436922,7.478114,college
6.442223,7.497481,school
6.462466,7.513008,school
6.462553,7.513196,kindergarten
6.481112,7.525955,school
6.467566,7.504813,school
6.460075,7.498636,college
6.45951,7.499036,college
6.442606,7.510234,college
6.599935,3.233055,school
6.459205,7.494089,school
10.471467,7.429835,school
12.995228,7.609107,school
12.99073,7.610405,school
12.988179,7.612618,school
12.985939,7.618262,school
12.984344,7.6042,school
12.980346,7.608982,school
12.980603,7.618837,school
7.429247,3.912135,school
7.402969,3.910961,school
7.420391,3.913552,school
7.397554,3.907753,school
7.436509,3.91055,school
7.399067,3.862587,school
7.411303,3.867436,college
7.41209,3.870719,college
7.406795,3.847721,college
7.39952,3.868336,school
6.49792,8.551832,school
12.027281,8.551032,school
11.9489,8.56084,school
7.393336,3.878014,school
7.375604,3.898106,school
7.37805,3.903095,school
7.392039,3.887268,school
11.682285,10.193812,school
11.682192,10.192463,school
9.066179,7.476082,school
7.768635,4.544672,school
7.896011,4.32002,school
10.530646,7.403679,school
12.303787,4.482054,college
7.269388,5.206451,school
7.255425,5.196752,school
7.418197,3.900939,school
7.424855,3.921772,school
7.431116,3.941929,school
7.526516,3.924482,school
7.524981,3.923389,school
7.438654,3.960794,school
7.829049,4.340266,school
7.74867,4.51657,school
11.990424,8.532391,school
11.96664,8.531887,school
11.967557,8.531557,school
7.767481,4.552619,school
11.949377,8.539857,school
12.019254,8.562883,school
10.167576,13.22625,school
10.172857,13.187396,school
7.877448,4.344777,school
7.714611,4.488952,school
7.717388,4.489838,school
13.627126,13.250169,kindergarten
5.483191,7.012121,school
5.482473,7.013323,school
5.476002,7.269296,school
5.482974,7.265922,school
11.037333,7.673944,school
7.164461,4.72926,school
7.159139,4.72511,school
7.161496,4.724893,school
7.165279,4.723666,school
7.164024,4.723617,school
7.16795,4.723182,school
12.373122,14.302328,school
12.361299,14.46093,school
12.368167,14.383282,school
6.413481,7.502396,school
10.141403,6.006208,school
6.89224,2.982727,school
10.136487,6.02249,school
4.974358,7.036368,school
5.443848,6.923906,school
5.424884,6.944755,school
13.377072,11.01169,school
13.191184,11.990376,school
13.161254,12.030651,school
13.147108,12.037873,school
13.121954,12.092676,school
13.118467,12.107919,school
7.717586,4.491468,childcare
10.280141,11.16208,school
7.217336,4.754967,school
7.221414,4.774215,school
6.349237,5.590796,school
5.486627,7.021453,school
5.500817,7.034381,school
5.482945,7.033815,school
5.479713,7.032002,school
7.567956,2.735082,school
7.554702,2.741344,school
6.289918,5.635155,school
7.33185,2.739487,school
4.823365,7.058438,school
4.824732,7.059441,school
4.824989,7.059239,school
10.535266,7.45566,school
10.551863,7.455845,school
10.543201,7.455569,school
10.552899,7.474061,school
10.56519,7.478374,school
10.542323,7.440071,school
10.546406,7.439446,college
10.54585,7.444275,school
10.510874,7.441281,school
10.536475,7.434155,school
10.538195,7.465409,school
5.123737,7.384547,school
5.120179,7.383657,school
10.448483,7.43643,school
9.024728,7.457384,school
7.558963,6.637409,school
7.616536,5.190465,school
7.615077,5.193308,school
11.957721,8.562055,school
11.965125,8.555606,school
11.965058,8.556239,school
11.961717,8.536444,school
11.958514,8.544745,school
11.960267,8.579655,school
11.946445,8.567444,school
11.978936,8.553712,school
11.978937,8.553311,school
11.967894,8.54481,school
11.968397,8.545984,school
13.375109,11.012013,school
11.767644,8.426157,school
6.553094,3.324123,school
6.293052,5.564972,school
5.72069,6.861648,school
5.7208,6.861586,school
5.554958,5.765723,school
5.550609,5.775656,school
5.551185,5.776047,school
5.538113,5.733645,school
5.534864,5.742567,school
5.541829,5.743602,school
5.541687,5.762394,school
5.546725,5.779198,college
5.540726,5.761042,school
5.522093,5.761259,college
5.551549,5.777465,school
5.548141,5.775988,school
5.544528,5.745744,school
5.539362,5.76213,school
5.548785,5.781392,college
5.544014,5.778643,school
5.54019,5.77981,school
5.546704,5.782063,college
5.55113,5.7732,school
5.562904,5.75642,school
5.570334,5.744984,school
4.88825,7.129835,school
5.562772,5.747058,college
5.569283,5.795471,college
5.592521,5.705625,school
5.599587,5.696679,school
5.55867,5.774489,school
5.554441,5.774076,school
5.554798,5.770126,school
5.560425,5.770658,school
5.564473,5.754772,school
5.562137,5.744535,school
5.561513,5.771892,school
5.561183,5.772842,school
5.557732,5.764135,school
5.558104,5.763682,school
5.559026,5.764274,school
5.558268,5.760306,school
5.559992,5.76448,school
5.559663,5.762178,school
5.560254,5.759142,school
5.564337,5.766456,school
5.564809,5.761743,school
5.562516,5.757898,school
5.15848,6.489035,school
5.143934,6.496419,school
5.170355,6.495724,school
4.927953,6.30984,school
4.953172,6.343423,school
4.929856,6.306613,school
4.930768,6.305329,school
4.931929,6.309683,school
4.926572,6.316489,school
4.94938,6.336919,college
11.837547,13.061975,kindergarten
5.557222,5.762836,school
5.567079,5.777441,school
4.950471,6.353097,college
4.953176,6.355146,school
4.952167,6.348795,school
4.951806,6.349169,college
4.952826,6.34872,school
4.950919,6.345648,school
4.950539,6.344815,school
4.94774,6.341161,school
4.946205,6.342976,school
4.945848,6.336949,college
4.946848,6.333738,school
4.945137,6.33374,school
4.944036,6.333858,school
5.089883,6.473206,school
4.949082,6.347548,school
4.942786,6.325139,school
4.94032,6.326578,school
4.938638,6.32667,school
4.937603,6.32541,school
4.937023,6.322478,school
4.930737,6.322566,school
5.554119,5.781786,school
5.55207,5.782316,school
5.59317,5.709074,school
5.59125,5.708141,school
5.592877,5.707808,school
5.547315,5.770961,school
5.546548,5.771235,school
5.507914,5.762872,school
5.542097,5.784418,school
5.543725,5.781905,school
5.54332,5.781631,school
5.545456,5.781869,college
5.545029,5.781928,school
5.554277,5.777185,school
5.559831,5.776825,school
5.593268,5.707021,school
5.555273,6.343443,school
5.543321,5.738285,school
5.543472,5.737891,school
5.5648,5.772251,school
5.565581,5.772329,school
5.562425,5.773461,school
5.584889,5.711977,school
5.56589,5.774279,school
5.563181,5.772899,school
5.566289,5.772471,school
5.566377,5.777662,school
5.567747,5.772916,school
5.563093,5.775274,school
5.548279,5.774637,school
5.544204,5.77098,school
5.539984,5.77185,school
5.539855,5.772666,school
5.539146,5.772496,school
5.540775,5.770412,school
5.54111,5.769594,school
5.540995,5.769764,school
5.563553,5.770261,school
5.568954,5.763191,school
5.562688,5.752256,school
5.555481,5.774995,school
5.564561,5.755527,college
5.562911,5.751136,school
5.55422,5.777734,school
5.535741,5.763561,school
5.590633,5.707219,school
5.53536,5.764596,school
5.535206,5.765242,school
5.59261,5.708467,school
5.562593,5.778291,school
5.565553,5.781604,school
5.566477,5.783078,school
5.590008,5.709798,school
5.566333,5.782872,school
5.566437,5.781282,school
5.565437,5.782685,school
5.566953,5.77901,school
5.539145,5.758816,school
5.539707,5.759579,school
5.536736,5.758595,school
5.536445,5.760869,school
5.537186,5.758149,school
5.536448,5.758402,school
5.533325,5.763918,school
5.535388,6.072357,school
5.53719,5.760691,school
5.538704,5.757393,college
5.539223,5.754203,school
5.538192,5.760131,school
5.536949,5.760757,school
5.542577,5.76509,school
5.533815,5.761445,school
5.53656,5.755324,school
5.542098,5.765585,school
5.542492,5.764386,school
5.538468,5.754495,school
5.536504,5.753342,school
5.537017,5.75178,school
5.533228,5.751228,school
5.535571,5.7539,school
5.536871,5.749403,school
5.539578,5.748819,school
5.53772,5.749418,school
5.537183,5.749251,school
5.538118,5.749232,school
5.531447,5.745317,school
5.531283,5.745145,school
5.531383,5.744877,college
5.541091,5.750835,school
5.535104,5.750891,school
5.531704,5.754971,school
5.532457,5.758263,school
5.532494,5.753449,school
5.530456,5.752235,school
5.530644,5.754009,school
5.533747,5.748061,school
5.53001,5.747697,school
5.530642,5.751616,school
5.530283,5.745346,school
5.531723,5.757365,school
5.531511,5.757151,school
5.529865,5.750408,school
5.532955,5.756543,school
5.535452,5.757358,school
5.528931,5.758031,school
5.53024,5.756739,school
5.529374,5.753624,school
5.531724,5.751217,school
5.528606,5.751321,school
5.531845,5.749094,school
4.82822,7.063073,school
4.843373,7.063954,school
4.817727,7.06575,school
4.817189,7.058961,school
4.817694,7.0659,school
4.82783,7.063142,school
4.834754,7.028147,school
4.833982,7.028058,school
4.831495,7.02735,school
10.075775,4.715971,school
10.075695,4.716166,school
10.075117,4.716109,school
10.075294,4.716159,school
4.832795,7.027293,school
4.838906,7.030983,school
4.836638,7.029762,school
4.834717,7.027653,school
4.837179,7.027334,school
4.827113,7.047566,school
4.838289,7.033402,school
4.821549,7.05226,school
4.827782,7.047325,college
4.843954,7.042623,college
4.834158,7.030908,school
4.83366,7.032436,school
4.820854,7.052408,school
4.845461,7.044709,college
4.837598,7.033885,school
4.828552,7.038276,school
4.819997,7.050885,school
4.828504,7.039941,college
4.838945,7.044692,school
4.837409,7.046569,school
4.838603,7.045409,school
11.822273,13.160722,kindergarten
11.816348,13.145708,kindergarten
11.815793,13.140278,school
11.811551,13.142115,school
11.806158,13.152129,school
11.830055,13.153222,school
11.84128,13.155565,school
11.840473,13.163665,school
11.826577,13.171839,school
11.219496,13.782651,school
11.218469,13.783517,school
5.06644,6.437899,college
4.834744,6.995204,college
