subregion,nbs_floor_earth_pct,nbs_floor_finished_pct,nbs_water_improved_pct,nbs_water_far_pct,nbs_toilet_improved_pct,nbs_open_defecation_pct,nbs_food_insecure_pct,nbs_food_severe_pct,nbs_health_far_pct
Abia,3.8103417099686676,90.96121128194396,84.33742222465432,3.323657997930482,36.13793476741894,45.21065498812219,78.03232516856792,62.98983345567407,27.30554066915406
Adamawa,50.21090362649133,43.839909546961756,61.15868381810835,15.1085361609639,2.8443575736895435,72.16080944258968,80.32598146657305,69.71804125110481,38.64679535429663
Akwa Ibom,19.28104237051449,80.2478941543739,61.90611204433031,13.70499548345088,17.332551131738253,70.88590099051261,88.08804885068737,78.11965741072375,60.40671863268323
Anambra,2.4111424122047844,93.84647158955207,61.3227437296882,0.9007798350574782,50.75099952299901,15.109969481020178,63.61464296739252,51.775867384603735,41.067291769327866
Bauchi,80.65021343429325,17.966467826709472,54.588645216330924,7.2810085492736185,20.099449162084383,68.9186909512833,52.06914586018026,40.22382602190984,28.345960040825936
Bayelsa,19.4517277757501,72.88147635576406,27.88494685834198,2.239204562728624,9.142534792610139,6.513062066470419,95.94971719003247,94.13196683383573,16.99481306105381
Benue,54.86167980551946,42.82759154455063,36.120596191336254,35.466423243633535,22.998370355637544,25.07569720408334,62.8576267711024,60.08524951613704,55.451795737802854
Borno,57.32033509031822,34.45919771165267,78.58069037359368,1.6638714625958517,22.56736386407025,68.54349195652709,73.28120201287533,67.99555240290707,16.41667243017406
Cross River,30.64564749388668,66.21707165791709,40.260280378427474,27.75585188934151,15.506651810283065,36.88306678739517,95.66512254206218,93.31606694093918,25.90145306426922
Delta,11.973775611935357,83.21961020986527,64.4437929668333,0.3908288540204249,30.146342104699684,13.266163291253566,61.76995826854782,49.172129656523715,36.82127683537754
Ebonyi,39.24223110721606,56.01234696642683,63.89854230602516,12.98045115209778,7.971114537326411,18.43366497544921,92.0604255517574,85.44291622954714,56.151025845807055
Edo,6.8895751355025885,88.56382557072769,65.70321080594648,6.159282408683342,41.218547129590085,28.346894327469197,73.37942341064934,68.6586229425182,31.264475755849496
