group_id,moderate_prevalence,severe_prevalence,moderate_depth,severe_depth,sample_size
North Central,50.73,19.07,2.46,3.24,5801
North East,56.35,25.39,2.56,3.25,7561
North West,57.02,22.92,2.52,3.29,7840
South East,23.43,3.68,2.17,3.07,2633
South South,32.02,9.34,2.34,3.17,3307
South West,30.63,8.32,2.32,3.18,3390
