subregion,shelter_moderate_prev,shelter_severe_prev,shelter_n,sanitation_moderate_prev,sanitation_severe_prev,sanitation_n,water_moderate_prev,water_severe_prev,water_n,edu_5_14_moderate_prev,edu_5_14_severe_prev,edu_5_14_n,edu_15_17_moderate_prev,edu_15_17_severe_prev,edu_15_17_n,health_moderate_prev,health_severe_prev,health_n,nutrition_moderate_prev,nutrition_severe_prev,nutrition_n
Lagos,66.72,29.75,2440,1.98,3.88,2440,1.59,1.92,2440,3.3,0.94,1450,5.24,0.55,324,77.83,2.33,297,16.18,0.0,768
Nasarawa,36.74,8.44,3927,1.98,59.42,3927,1.91,43.65,3927,27.0,19.08,2301,34.58,12.72,563,90.58,13.63,428,24.39,0.0,1212
Niger,40.07,9.08,3371,2.49,63.89,3371,3.41,32.52,3371,41.41,38.51,2075,37.6,23.72,428,95.42,17.03,394,33.4,0.0,976
Ogun,57.79,16.37,2045,1.23,45.28,2045,2.5,23.7,2045,10.94,5.88,1227,17.14,3.76,313,94.96,16.99,244,28.34,0.0,585
Ondo,46.03,11.25,2131,0.48,47.37,2131,0.5,19.99,2131,5.22,2.06,1340,9.21,2.57,357,81.36,17.87,213,26.92,0.0,538
Osun,54.41,13.47,1860,3.37,28.26,1860,2.6,6.55,1860,14.58,1.18,1119,6.38,0.69,302,79.18,5.78,185,19.99,0.0,520
Oyo,60.63,20.76,2166,3.9,44.92,2166,2.11,17.41,2166,10.72,6.04,1307,12.11,3.45,306,86.22,10.22,226,21.62,0.0,640
Plateau,39.13,8.16,3082,2.97,66.98,3082,2.93,47.33,3082,18.83,9.66,1823,26.11,5.21,418,88.93,5.49,356,29.19,0.0,944
Rivers,60.77,23.91,1771,5.02,37.41,1771,1.56,14.47,1771,4.75,0.77,1050,3.05,0.47,267,80.29,5.39,188,13.23,0.0,510
Sokoto,73.8,28.52,2747,1.69,71.42,2747,1.8,63.03,2747,53.71,50.68,1654,63.4,48.74,371,95.77,42.76,293,26.57,0.0,799
Taraba,59.88,14.81,3389,0.87,69.04,3389,2.9,71.76,3389,28.91,21.61,1957,38.36,17.06,458,81.38,13.03,402,16.67,0.0,1107
Yobe,53.83,10.69,5211,0.36,58.09,5211,10.41,23.64,5211,58.03,55.34,2989,58.88,51.95,656,95.54,14.35,652,22.46,0.0,1728
Zamfara,55.77,11.77,3065,1.37,54.21,3065,9.32,25.3,3065,62.28,58.09,1848,59.68,41.59,364,88.98,23.41,369,31.27,0.0,923
