hhid,lat_dd_mod,lon_dd_mod,dist_road2,dist_market,ndvi_avg,anntot_avg,popdensity,srtm_1k,zone,sector,wt_wave4,totcons_pc,log_cons_pc,grid_idx,nearest_dist_km,grid_lon,grid_lat,grid_rwi,grid_deprivation,grid_state
189191.0,11.1326535506,7.72943749326,0.3,117.9,0.291,1185.0,3504.0,634.0,3.0,1.0,6567.08642578125,101837.2916442871,11.531131638654236,49610,1.126258577721958,7.7233887,11.1245072,1.015,25.76,Kaduna
189192.0,11.1326535506,7.72943749326,0.3,117.9,0.291,1185.0,3504.0,634.0,3.0,1.0,6567.08642578125,212772.65192871093,12.26797951281822,49610,1.126258577721958,7.7233887,11.1245072,1.015,25.76,Kaduna
189193.0,11.1471464999,7.87251617852,12.3,130.6,0.292,1176.0,142.0,650.0,3.0,2.0,2228.435302734375,87008.66330337524,11.373762970878856,89957,0.5332616777330775,7.8771973,11.1460662,-0.501,25.76,Kaduna
189194.0,11.1471464999,7.87251617852,12.3,130.6,0.292,1176.0,142.0,650.0,3.0,2.0,2228.435302734375,58525.46099149263,10.977217169158378,89957,0.5332616777330775,7.8771973,11.1460662,-0.501,25.76,Kaduna
189195.0,11.1471464999,7.87251617852,12.3,130.6,0.292,1176.0,142.0,650.0,3.0,2.0,2228.435302734375,94537.22786712646,11.456748981589485,89957,0.5332616777330775,7.8771973,11.1460662,-0.501,25.76,Kaduna
189196.0,11.1471464999,7.87251617852,12.3,130.6,0.292,1176.0,142.0,650.0,3.0,2.0,2228.435302734375,61027.39691840277,11.019078172136725,89957,0.5332616777330775,7.8771973,11.1460662,-0.501,25.76,Kaduna
189197.0,11.1471464999,7.87251617852,12.3,130.6,0.292,1176.0,142.0,650.0,3.0,2.0,2228.435302734375,39541.99668666295,10.585118593341967,89957,0.5332616777330775,7.8771973,11.1460662,-0.501,25.76,Kaduna
189199.0,11.1471464999,7.87251617852,12.3,130.6,0.292,1176.0,142.0,650.0,3.0,2.0,2228.435302734375,55647.38050079346,10.92679028463074,89957,0.5332616777330775,7.8771973,11.1460662,-0.501,25.76,Kaduna
189200.0,11.1471464999,7.87251617852,12.3,130.6,0.292,1176.0,142.0,650.0,3.0,2.0,2228.435302734375,59308.58900960286,10.9905094144571,89957,0.5332616777330775,7.8771973,11.1460662,-0.501,25.76,Kaduna
189202.0,11.1471464999,7.87251617852,12.3,130.6,0.292,1176.0,142.0,650.0,3.0,2.0,2228.435302734375,30806.85169011896,10.335492401693068,89957,0.5332616777330775,7.8771973,11.1460662,-0.501,25.76,Kaduna
189203.0,11.1471464999,7.87251617852,12.3,130.6,0.292,1176.0,142.0,650.0,3.0,2.0,2228.435302734375,53300.24201965332,10.883696150850067,89957,0.5332616777330775,7.8771973,11.1460662,-0.501,25.76,Kaduna
189204.0,11.1471464999,7.87251617852,12.3,130.6,0.292,1176.0,142.0,650.0,3.0,2.0,2228.435302734375,82717.40349232066,11.32318530013356,89957,0.5332616777330775,7.8771973,11.1460662,-0.501,25.76,Kaduna
189205.0,9.67827452893,8.29098550568,5.9,124.2,0.301,1762.0,227.0,763.0,3.0,2.0,5677.91455078125,194279.3578125,12.17705239098016,29516,0.4514736503794961,8.2946777,9.6765684,0.116,25.76,Kaduna
189206.0,9.67827452893,8.29098550568,5.9,124.2,0.301,1762.0,227.0,763.0,3.0,2.0,5677.91455078125,118061.6992034912,11.678962641402364,29516,0.4514736503794961,8.2946777,9.6765684,0.116,25.76,Kaduna
189207.0,9.04228145729,7.47192409285,5.1,119.8,0.307,1333.0,4465.0,471.0,1.0,1.0,5677.91455078125,378666.4152984619,12.844410925770418,75852,1.2479465637016112,7.4816895,9.0478525,0.989,,Federal Capital Territory
189209.0,9.74962569679,8.32247653455,12.8,106.2,0.304,1762.0,366.0,876.0,3.0,2.0,5677.91455078125,235588.45588175455,12.36984173075499,11346,1.1060344574539966,8.3166504,9.7415422,0.08,25.76,Kaduna
189210.0,9.67827452893,8.29098550568,5.9,124.2,0.301,1762.0,227.0,763.0,3.0,2.0,5677.91455078125,392519.28395080566,12.880340946082564,29516,0.4514736503794961,8.2946777,9.6765684,0.116,25.76,Kaduna
189212.0,9.67827452893,8.29098550568,5.9,124.2,0.301,1762.0,227.0,763.0,3.0,2.0,5677.91455078125,169390.19053141275,12.039960152388892,29516,0.4514736503794961,8.2946777,9.6765684,0.116,25.76,Kaduna
189213.0,9.67827452893,8.29098550568,5.9,124.2,0.301,1762.0,227.0,763.0,3.0,2.0,5677.91455078125,512789.96945699054,13.14762162405601,29516,0.4514736503794961,8.2946777,9.6765684,0.116,25.76,Kaduna
189214.0,9.67827452893,8.29098550568,5.9,124.2,0.301,1762.0,227.0,763.0,3.0,2.0,5677.91455078125,197574.58339182535,12.193871429463211,29516,0.4514736503794961,8.2946777,9.6765684,0.116,25.76,Kaduna
189216.0,9.67827452893,8.29098550568,5.9,124.2,0.301,1762.0,227.0,763.0,3.0,2.0,5677.91455078125,170286.62859584266,12.045238346808592,29516,0.4514736503794961,8.2946777,9.6765684,0.116,25.76,Kaduna
189218.0,10.3370052418,7.39518613691,0.9,118.3,0.294,1447.0,566.0,625.0,3.0,2.0,11923.525390625,120674.06524658205,11.700848514458354,91115,1.1578551564039037,7.3937988,10.3473437,0.43,25.76,Kaduna
189222.0,10.4444478318,7.39190805636,1.6,123.0,0.292,1418.0,3229.0,584.0,3.0,1.0,4146.87255859375,155943.7563298543,11.957250684875731,71694,1.2011524399192743,7.3937988,10.4337931,0.686,25.76,Kaduna
189235.0,10.4226523846,7.7717964177,0.4,135.9,0.278,1475.0,201.0,624.0,3.0,2.0,1754.6531982421875,67202.51321847098,11.115465924896302,32797,1.2632618604910857,7.767334,10.412183,-0.375,25.76,Kaduna
189236.0,10.4226523846,7.7717964177,0.4,135.9,0.278,1475.0,201.0,624.0,3.0,2.0,1754.6531982421875,76758.89539228167,11.24842455961009,32797,1.2632618604910857,7.767334,10.412183,-0.375,25.76,Kaduna
189242.0,10.4167450134,8.71238653195,2.2,97.0,0.285,1395.0,423.0,773.0,3.0,2.0,15675.4521484375,49952.91008758545,10.818836042391371,61763,0.5070173542916248,8.7121582,10.412183,-0.239,59.29,Bauchi
189252.0,9.67827452893,8.29098550568,5.9,124.2,0.301,1762.0,227.0,763.0,3.0,2.0,5677.91455078125,275440.1669747489,12.526125704223189,29516,0.4514736503794961,8.2946777,9.6765684,0.116,25.76,Kaduna
190011.0,11.987756078800002,8.52976660735,1.8,15.5,0.274,746.0,17445.0,485.0,3.0,1.0,2512.924072265625,316323.52446289064,12.66452078042283,55217,0.7720866653696162,8.536377,11.9855916,1.4,50.05,Kano
190012.0,11.987756078800002,8.52976660735,1.8,15.5,0.274,746.0,17445.0,485.0,3.0,1.0,2512.924072265625,143547.5573577881,11.874421669436398,55217,0.7720866653696162,8.536377,11.9855916,1.4,50.05,Kano
190013.0,11.987756078800002,8.52976660735,1.8,15.5,0.274,746.0,17445.0,485.0,3.0,1.0,2512.924072265625,329091.7354064941,12.704091821904145,55217,0.7720866653696162,8.536377,11.9855916,1.4,50.05,Kano
190014.0,11.987756078800002,8.52976660735,1.8,15.5,0.274,746.0,17445.0,485.0,3.0,1.0,2512.924072265625,161798.81095359437,11.994108934714223,55217,0.7720866653696162,8.536377,11.9855916,1.4,50.05,Kano
190015.0,11.925430352,8.50068873707,2.1,16.9,0.287,772.0,6610.0,471.0,3.0,2.0,2512.924072265625,307474.3496144613,12.63614694686148,21221,1.034786469327823,8.4924316,11.9211029,0.908,50.05,Kano
190016.0,11.9663027263,8.48997558843,0.1,4.0,0.278,759.0,19251.0,487.0,3.0,2.0,2512.924072265625,265084.8253520966,12.48780514941696,8571,0.3664140130143432,8.4924316,11.9640971,1.457,50.05,Kano
190017.0,11.987756078800002,8.52976660735,1.8,15.5,0.274,746.0,17445.0,485.0,3.0,1.0,2512.924072265625,306842.8978474935,12.634091162193329,55217,0.7720866653696162,8.536377,11.9855916,1.4,50.05,Kano
190018.0,11.987756078800002,8.52976660735,1.8,15.5,0.274,746.0,17445.0,485.0,3.0,1.0,2512.924072265625,210088.1855552673,12.255282652768727,55217,0.7720866653696162,8.536377,11.9855916,1.4,50.05,Kano
190019.0,11.987756078800002,8.52976660735,1.8,15.5,0.274,746.0,17445.0,485.0,3.0,1.0,2512.924072265625,264658.92574310297,12.486197203311407,55217,0.7720866653696162,8.536377,11.9855916,1.4,50.05,Kano
190020.0,11.987756078800002,8.52976660735,1.8,15.5,0.274,746.0,17445.0,485.0,3.0,1.0,2512.924072265625,305345.31283187866,12.62919858838406,55217,0.7720866653696162,8.536377,11.9855916,1.4,50.05,Kano
190081.0,11.559592131100002,9.01875772705,0.5,3.4,0.289,867.0,419.0,445.0,3.0,2.0,6356.2197265625,64691.74313119742,11.077388854589318,26155,0.480988299297723,9.0197754,11.5553801,-0.763,50.05,Kano
190082.0,11.559592131100002,9.01875772705,0.5,3.4,0.289,867.0,419.0,445.0,3.0,2.0,6356.2197265625,109531.51100921632,11.603967558614002,26155,0.480988299297723,9.0197754,11.5553801,-0.763,50.05,Kano
190083.0,11.559592131100002,9.01875772705,0.5,3.4,0.289,867.0,419.0,445.0,3.0,2.0,6356.2197265625,116610.31613006593,11.666593023513755,26155,0.480988299297723,9.0197754,11.5553801,-0.763,50.05,Kano
190084.0,11.559592131100002,9.01875772705,0.5,3.4,0.289,867.0,419.0,445.0,3.0,2.0,6356.2197265625,73891.79762573242,11.210357107890232,26155,0.480988299297723,9.0197754,11.5553801,-0.763,50.05,Kano
190085.0,11.559592131100002,9.01875772705,0.5,3.4,0.289,867.0,419.0,445.0,3.0,2.0,6356.2197265625,297731.39376976376,12.603946995826758,26155,0.480988299297723,9.0197754,11.5553801,-0.763,50.05,Kano
190086.0,11.559592131100002,9.01875772705,0.5,3.4,0.289,867.0,419.0,445.0,3.0,2.0,6356.2197265625,233699.3426252092,12.361790707622731,26155,0.480988299297723,9.0197754,11.5553801,-0.763,50.05,Kano
190087.0,11.559592131100002,9.01875772705,0.5,3.4,0.289,867.0,419.0,445.0,3.0,2.0,6356.2197265625,111407.66168212892,11.620951380431064,26155,0.480988299297723,9.0197754,11.5553801,-0.763,50.05,Kano
190088.0,11.559592131100002,9.01875772705,0.5,3.4,0.289,867.0,419.0,445.0,3.0,2.0,6356.2197265625,89156.72340901692,11.39815103726213,26155,0.480988299297723,9.0197754,11.5553801,-0.763,50.05,Kano
190089.0,11.559592131100002,9.01875772705,0.5,3.4,0.289,867.0,419.0,445.0,3.0,2.0,6356.2197265625,60468.102388654435,11.009871271737232,26155,0.480988299297723,9.0197754,11.5553801,-0.763,50.05,Kano
190090.0,11.559592131100002,9.01875772705,0.5,3.4,0.289,867.0,419.0,445.0,3.0,2.0,6356.2197265625,74542.84963129216,11.21912940186104,26155,0.480988299297723,9.0197754,11.5553801,-0.763,50.05,Kano
190111.0,12.0479308079,8.471457888269999,0.1,13.8,0.238,718.0,5372.0,489.0,3.0,1.0,2791.10302734375,137857.1076589411,11.833972975942034,17811,0.26153870922767997,8.470459,12.0500648,1.397,50.05,Kano
190112.0,12.0479308079,8.471457888269999,0.1,13.8,0.238,718.0,5372.0,489.0,3.0,1.0,2791.10302734375,186975.94410487585,12.138735246411343,17811,0.26153870922767997,8.470459,12.0500648,1.397,50.05,Kano
190113.0,12.0479308079,8.471457888269999,0.1,13.8,0.238,718.0,5372.0,489.0,3.0,1.0,2791.10302734375,90893.62500939002,11.417445145796313,17811,0.26153870922767997,8.470459,12.0500648,1.397,50.05,Kano
190114.0,12.0479308079,8.471457888269999,0.1,13.8,0.238,718.0,5372.0,489.0,3.0,1.0,2791.10302734375,49131.29504496256,10.802251484370805,17811,0.26153870922767997,8.470459,12.0500648,1.397,50.05,Kano
190115.0,12.0479308079,8.471457888269999,0.1,13.8,0.238,718.0,5372.0,489.0,3.0,1.0,2791.10302734375,77188.09823491023,11.254000556186192,17811,0.26153870922767997,8.470459,12.0500648,1.397,50.05,Kano
190116.0,12.0479308079,8.471457888269999,0.1,13.8,0.238,718.0,5372.0,489.0,3.0,1.0,2791.10302734375,324397.848987726,12.68972597046074,17811,0.26153870922767997,8.470459,12.0500648,1.397,50.05,Kano
190117.0,12.0479308079,8.471457888269999,0.1,13.8,0.238,718.0,5372.0,489.0,3.0,1.0,2791.10302734375,292752.79872436525,12.587083841531651,17811,0.26153870922767997,8.470459,12.0500648,1.397,50.05,Kano
190118.0,12.0479308079,8.471457888269999,0.1,13.8,0.238,718.0,5372.0,489.0,3.0,1.0,2791.10302734375,101691.2539573921,11.529696579886185,17811,0.26153870922767997,8.470459,12.0500648,1.397,50.05,Kano
190119.0,12.0479308079,8.471457888269999,0.1,13.8,0.238,718.0,5372.0,489.0,3.0,1.0,2791.10302734375,152015.94414672855,11.931740690029406,17811,0.26153870922767997,8.470459,12.0500648,1.397,50.05,Kano
190131.0,12.148326223699998,8.36706976593,1.7,10.0,0.294,693.0,1963.0,502.0,3.0,2.0,3786.587890625,427603.5607055664,12.965951785286304,101406,1.2450298350052873,8.3605957,12.1574857,0.641,50.05,Kano
190132.0,12.148326223699998,8.36706976593,1.7,10.0,0.294,693.0,1963.0,502.0,3.0,2.0,3786.587890625,138354.49157714844,11.837574450009,101406,1.2450298350052873,8.3605957,12.1574857,0.641,50.05,Kano
190133.0,12.148326223699998,8.36706976593,1.7,10.0,0.294,693.0,1963.0,502.0,3.0,2.0,3786.587890625,136774.37860801004,11.82608797575234,101406,1.2450298350052873,8.3605957,12.1574857,0.641,50.05,Kano
190134.0,12.148326223699998,8.36706976593,1.7,10.0,0.294,693.0,1963.0,502.0,3.0,2.0,3786.587890625,139338.62388483682,11.84466239258326,101406,1.2450298350052873,8.3605957,12.1574857,0.641,50.05,Kano
190135.0,12.148326223699998,8.36706976593,1.7,10.0,0.294,693.0,1963.0,502.0,3.0,2.0,3786.587890625,235796.54902013144,12.370724631779549,101406,1.2450298350052873,8.3605957,12.1574857,0.641,50.05,Kano
190136.0,12.148326223699998,8.36706976593,1.7,10.0,0.294,693.0,1963.0,502.0,3.0,2.0,3786.587890625,105551.47787074852,11.566954054796147,101406,1.2450298350052873,8.3605957,12.1574857,0.641,50.05,Kano
190137.0,12.148326223699998,8.36706976593,1.7,10.0,0.294,693.0,1963.0,502.0,3.0,2.0,3786.587890625,89602.41288757324,11.403137528149236,101406,1.2450298350052873,8.3605957,12.1574857,0.641,50.05,Kano
190138.0,12.148326223699998,8.36706976593,1.7,10.0,0.294,693.0,1963.0,502.0,3.0,2.0,3786.587890625,80079.54847886827,11.290775775597435,101406,1.2450298350052873,8.3605957,12.1574857,0.641,50.05,Kano
190139.0,12.148326223699998,8.36706976593,1.7,10.0,0.294,693.0,1963.0,502.0,3.0,2.0,3786.587890625,186372.55668428208,12.135502942305893,101406,1.2450298350052873,8.3605957,12.1574857,0.641,50.05,Kano
190140.0,12.148326223699998,8.36706976593,1.7,10.0,0.294,693.0,1963.0,502.0,3.0,2.0,3786.587890625,256511.3033803304,12.45492801038158,101406,1.2450298350052873,8.3605957,12.1574857,0.641,50.05,Kano
190161.0,11.829167347700002,7.91950109695,0.1,4.6,0.284,880.0,254.0,583.0,3.0,2.0,5499.6083984375,261351.64112666296,12.473622063542294,65938,0.6826571818391344,7.9211426,11.8350943,-0.472,50.05,Kano
190162.0,11.829167347700002,7.91950109695,0.1,4.6,0.284,880.0,254.0,583.0,3.0,2.0,5499.6083984375,101884.91180547078,11.53159913960646,65938,0.6826571818391344,7.9211426,11.8350943,-0.472,50.05,Kano
190163.0,11.829167347700002,7.91950109695,0.1,4.6,0.284,880.0,254.0,583.0,3.0,2.0,5499.6083984375,100362.18829727171,11.516540804719249,65938,0.6826571818391344,7.9211426,11.8350943,-0.472,50.05,Kano
190164.0,11.829167347700002,7.91950109695,0.1,4.6,0.284,880.0,254.0,583.0,3.0,2.0,5499.6083984375,205049.2824554443,12.23100563145024,65938,0.6826571818391344,7.9211426,11.8350943,-0.472,50.05,Kano
190165.0,11.829167347700002,7.91950109695,0.1,4.6,0.284,880.0,254.0,583.0,3.0,2.0,5499.6083984375,39436.224851578,10.58244008536186,65938,0.6826571818391344,7.9211426,11.8350943,-0.472,50.05,Kano
